sw_name,ip_sw,puerto,vlan,next_ip,mac_device,ip_device
SW_CORE,192.168.1.1,Fa1/0/48,10,192.168.1.11,,
SW1,192.168.1.11,Fa1/0/42,10,,10:7c:61:65:72:87,192.168.1.17
